date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2023-11-25T18:00:00,Saturday,Brooklyn Nets,112.0,Miami Heat,97.0,16912.0,,
2023-11-25T19:00:00,Saturday,Washington Wizards,108.0,Atlanta Hawks,136.0,16912.0,,
2023-11-25T19:30:00,Saturday,Cleveland Cavaliers,115.0,Los Angeles Lakers,121.0,16912.0,,
2023-11-25T21:30:00,Saturday,Utah Jazz,105.0,New Orleans Pelicans,100.0,16912.0,,
2023-11-25T22:30:00,Saturday,Los Angeles Clippers,107.0,Dallas Mavericks,88.0,16912.0,,
2023-11-26T15:30:00,Sunday,Milwaukee Bucks,108.0,Portland Trail Blazers,102.0,16912.0,,
2023-11-26T18:00:00,Sunday,Orlando Magic,130.0,Charlotte Hornets,117.0,16912.0,,
2023-11-26T18:00:00,Sunday,New York Knicks,113.0,Phoenix Suns,116.0,16912.0,,
2023-11-26T18:00:00,Sunday,Memphis Grizzlies,97.0,Minnesota Timberwolves,119.0,16912.0,,
2023-11-26T18:00:00,Sunday,Boston Celtics,113.0,Atlanta Hawks,103.0,16912.0,,
2023-11-26T19:30:00,Sunday,Brooklyn Nets,118.0,Chicago Bulls,109.0,16912.0,,
2023-11-26T19:30:00,Sunday,Cleveland Cavaliers,105.0,Toronto Raptors,102.0,16912.0,,
2023-11-26T20:00:00,Sunday,Denver Nuggets,132.0,San Antonio Spurs,120.0,16912.0,,
2023-11-27T19:00:00,Monday,Detroit Pistons,107.0,Washington Wizards,126.0,16912.0,,
2023-11-27T19:00:00,Monday,Indiana Pacers,110.0,Portland Trail Blazers,114.0,16912.0,,
2023-11-27T19:00:00,Monday,Philadelphia 76ers,138.0,Los Angeles Lakers,94.0,16912.0,,
2023-11-27T21:00:00,Monday,Utah Jazz,114.0,New Orleans Pelicans,112.0,16912.0,,
2023-11-27T22:30:00,Monday,Los Angeles Clippers,104.0,Denver Nuggets,113.0,16912.0,,
2023-11-28T19:30:00,Tuesday,Boston Celtics,124.0,Chicago Bulls,97.0,16912.0,,In-Season Tournament
2023-11-28T19:30:00,Tuesday,Brooklyn Nets,115.0,Toronto Raptors,103.0,16912.0,,In-Season Tournament
2023-11-28T19:30:00,Tuesday,Cleveland Cavaliers,128.0,Atlanta Hawks,105.0,16912.0,,In-Season Tournament
2023-11-28T19:30:00,Tuesday,Miami Heat,124.0,Milwaukee Bucks,131.0,16912.0,,In-Season Tournament
2023-11-28T19:30:00,Tuesday,New York Knicks,115.0,Charlotte Hornets,91.0,16912.0,,In-Season Tournament
2023-11-28T20:00:00,Tuesday,Minnesota Timberwolves,106.0,Oklahoma City Thunder,103.0,16912.0,,In-Season Tournament
