date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2019-11-13T20:00:00,Wednesday,Minnesota Timberwolves,129,San Antonio Spurs,114,17732.0,,
2019-11-13T22:00:00,Wednesday,Portland Trail Blazers,106,Toronto Raptors,114,17732.0,,
2019-11-13T22:00:00,Wednesday,Los Angeles Lakers,120,Golden State Warriors,94,17732.0,,
2019-11-14T18:00:00,Thursday,Cleveland Cavaliers,97,Miami Heat,108,17732.0,,
2019-11-14T20:00:00,Thursday,Milwaukee Bucks,124,Chicago Bulls,115,17732.0,,
2019-11-14T20:00:00,Thursday,New Orleans Pelicans,132,Los Angeles Clippers,127,17732.0,,
2019-11-14T20:00:00,Thursday,New York Knicks,106,Dallas Mavericks,103,17732.0,,
2019-11-14T21:00:00,Thursday,Phoenix Suns,128,Atlanta Hawks,112,17732.0,,
2019-11-14T22:30:00,Thursday,Denver Nuggets,101,Brooklyn Nets,93,17732.0,,
2019-11-15T19:00:00,Friday,Charlotte Hornets,109,Detroit Pistons,106,17732.0,,
2019-11-15T19:00:00,Friday,Orlando Magic,111,San Antonio Spurs,109,17732.0,,
2019-11-15T20:00:00,Friday,Houston Rockets,111,Indiana Pacers,102,17732.0,,
2019-11-15T20:00:00,Friday,Memphis Grizzlies,107,Utah Jazz,106,17732.0,,
2019-11-15T20:00:00,Friday,Minnesota Timberwolves,116,Washington Wizards,137,17732.0,,
2019-11-15T20:00:00,Friday,Oklahoma City Thunder,127,Philadelphia 76ers,119,17732.0,OT,
2019-11-15T22:30:00,Friday,Golden State Warriors,100,Boston Celtics,105,17732.0,,
2019-11-15T22:30:00,Friday,Los Angeles Lakers,99,Sacramento Kings,97,17732.0,,
2019-11-16T18:00:00,Saturday,Chicago Bulls,111,Brooklyn Nets,117,17732.0,,
2019-11-16T19:00:00,Saturday,Indiana Pacers,83,Milwaukee Bucks,102,17732.0,,
2019-11-16T19:30:00,Saturday,New York Knicks,102,Charlotte Hornets,103,17732.0,,
2019-11-16T20:00:00,Saturday,Miami Heat,109,New Orleans Pelicans,94,17732.0,,
