date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Cory Joseph,Reserve,20.33333333333333,3,6,0.5,0,1,0.0,4,4,1.0,0,1,1,4,1,1,3,2,10,-12.0
2019-10-23T22:00:00,Phoenix Suns Basic and Advanced Stats Table,Tyler Johnson,Reserve,16.266666666666666,4,8,0.5,2,4,0.5,0,0,,0,2,2,2,2,1,2,1,10,10.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Buddy Hield,Starter,31.516666666666666,10,19,0.526,6,12,0.5,2,2,1.0,2,3,5,2,0,0,5,2,28,-15.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Harrison Barnes,Starter,30.5,5,11,0.455,1,3,0.333,1,3,0.333,0,6,6,1,1,0,4,3,12,-20.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Marvin Bagley III,Starter,27.45,6,16,0.375,0,0,,2,4,0.5,4,6,10,0,1,1,1,1,14,-21.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,De'Aaron Fox,Starter,26.433333333333334,3,7,0.429,0,1,0.0,2,4,0.5,0,1,1,5,0,0,5,5,8,-17.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Dewayne Dedmon,Starter,14.233333333333333,1,3,0.333,0,1,0.0,1,1,1.0,1,5,6,1,0,1,2,3,3,-7.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Bogdan Bogdanović,Reserve,22.366666666666667,1,10,0.1,0,3,0.0,0,0,,0,2,2,2,0,0,1,2,2,-24.0
2019-10-23T22:00:00,Phoenix Suns Basic and Advanced Stats Table,Aron Baynes,Reserve,9.15,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,2,4,5,7.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Nemanja Bjelica,Reserve,20.33333333333333,2,6,0.333,1,4,0.25,0,0,,1,3,4,2,2,0,1,0,5,-9.0
2019-10-23T22:00:00,Sacramento Kings Basic and Advanced Stats Table,Richaun Holmes,Reserve,17.283333333333335,0,2,0.0,0,0,,1,2,0.5,1,4,5,0,0,1,1,3,1,-8.0
